Ano,Undefined,10000+,8000-10000,6000-8000,4000-6000,2000-4000,0-2000
2002,13553,0,0,0,3503,47546,226020
2003,13116,0,0,0,9353,59713,218764
2004,15711,0,0,0,16614,73793,243610
2005,15365,0,0,0,21611,78947,249528
2006,16243,0,0,3381,24312,84087,249239
2007,20142,0,0,4277,29937,91215,283834
2008,22841,0,0,9070,37395,96980,283715
2009,20490,0,0,13018,38016,95969,273018
2010,23617,0,0,20270,47945,117615,289407
2011,25733,0,3966,24233,52552,136451,275377
2012,24046,0,7191,24225,52149,144036,254685
2013,22356,6719,8186,28175,59357,161002,237807