Wld2,WldDisplay,ExportVal
Oceania,AUS,75484
Europa,SWE,0
Europa,SVK,0
Europa,ROU,21000
Europa,PRT,21705
Europa,POL,43433
Europa,NOR,21798
Europa,NLD,298069
Europa,ITA,153172
Europa,IRL,9316
Europa,HUN,17159
Europa,GBR,316802
Europa,FRA,162192
Europa,ESP,152471
Europa,DNK,30660
Europa,DEU,1422494
Europa,CHE,2800
Europa,BEL,103031
Europa,AUT,49113
Ásia,LBN,30208
Ásia,KWT,3060
Ásia,KOR,285933
Ásia,JPN,1167952
Ásia,IND,5000
Ásia,CHN,0
Ásia,ARE,13413
Ásia,Arábia Saudita,55399943
América do Sul,VEN,79084
América do Sul,Uruguai,12857707
América do Sul,Peru,5709578
América do Sul,Paraguai,4805963
América do Sul,Colômbia,20072037
América do Sul,Chile,17335666
América do Sul,Bolívia,3910719
América do Sul,Argentina,807286011
América do Norte,USA,272091
América do Norte,México,86823051
América do Norte,KNA,108836
América do Norte,HND,34056
América do Norte,GTM,4500
América do Norte,CYM,26144
América do Norte,Costa Rica,730973
América do Norte,CAN,59392
América do Norte,Bahamas,2206812
América do Norte,ANT,42142
África,ZAF,0